Date,Open,High,Low,Close,Adj Close,Volume
1999-01-01,0.376116,0.402344,0.357143,0.401786,0.343058,5140587200
1999-01-08,0.415737,0.422433,0.366629,0.369420,0.315423,4832217600
1999-01-15,0.373326,0.377790,0.334821,0.346540,0.295887,2919504000
1999-01-22,0.336496,0.369420,0.330915,0.364955,0.311610,1992379200
1999-01-29,0.367746,0.374442,0.337054,0.338170,0.288740,1631313600
1999-02-05,0.341518,0.354911,0.316964,0.353795,0.302081,3075408000
1999-02-12,0.349330,0.349330,0.317522,0.321429,0.274446,1525361600
1999-02-19,0.323661,0.353237,0.323103,0.329799,0.281593,1459897600
1999-02-26,0.325893,0.330357,0.289063,0.298549,0.254911,2498753600
1999-03-05,0.306362,0.309710,0.285714,0.287388,0.245381,2358339200
1999-03-12,0.288504,0.321987,0.288504,0.316964,0.270634,1616787200
1999-03-19,0.320871,0.321429,0.290179,0.301897,0.257769,2345784000
1999-03-26,0.301339,0.331473,0.294643,0.321987,0.274923,2061640000
1999-04-02,0.321429,0.342076,0.321429,0.329241,0.281116,1797745600
1999-04-09,0.323661,0.332589,0.306362,0.319196,0.272540,3492249600
1999-04-16,0.320313,0.327009,0.299107,0.324777,0.277305,3039467200
1999-04-23,0.323661,0.409040,0.323661,0.383929,0.327811,5825120000
1999-04-30,0.392857,0.446429,0.392857,0.397321,0.339245,4766451200
1999-05-07,0.398438,0.419085,0.381696,0.412388,0.352110,1976956800
1999-05-14,0.402902,0.410714,0.379464,0.379464,0.323998,1571763200
1999-05-21,0.383929,0.396205,0.365513,0.388393,0.331622,1864934400
1999-05-28,0.386719,0.428571,0.385045,0.423549,0.361640,1671723200
1999-06-04,0.425223,0.437500,0.421875,0.429688,0.366881,1771459200
1999-06-11,0.429688,0.433036,0.402902,0.414063,0.353540,921939200
1999-06-18,0.405134,0.421875,0.377232,0.377790,0.322569,1459147200
1999-06-25,0.379464,0.419085,0.375558,0.404576,0.345440,1444699200
1999-07-02,0.406529,0.491629,0.403460,0.486607,0.415481,3301692800
